source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled,org_unit_id
skku_001,성균관대 경영학과,https://biz.skku.edu/bizskk/notice.do,https://biz.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,515
skku_002,성균관대 글로벌경영학과,https://globalbiz.skku.edu/gba/notice.do,https://globalbiz.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,516
skku_003,성균관대 경제학과,https://ecostat.skku.edu/ecostat/notice_under.do,https://ecostat.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,512
skku_004,성균관대 글로벌경제학과,https://globalecon.skku.edu/gecon/notice.do,https://globalecon.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,513
skku_005,성균관대 통계학과,https://stat.skku.edu/stat/community/under_notice.do,https://stat.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,514
skku_006,성균관대 건설환경공학부,https://cal.skku.edu/index.php?hCode=BOARD&bo_idx=17,https://cal.skku.edu,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,538
skku_007,성균관대 건축학과(5년제),https://arch.skku.edu/arch/NEWS/notice.do,https://arch.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,539
skku_008,성균관대 기계공학부,https://mech.skku.edu/me/notice.do,https://mech.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,540
skku_009,성균관대 나노공학과,https://nano.skku.edu/bbs/board.php?tbl=bbs42,https://nano.skku.edu,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,541
skku_010,성균관대 시스템경영공학과/산업공학과,https://sme.skku.edu/iesys/notice.do,https://sme.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,542
skku_011,성균관대 양자정보공학과,https://qie.skku.edu/qie/notice.do,https://qie.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,544
skku_012,성균관대 신소재공학부,https://amse.skku.edu/AMSE/notice.do,https://amse.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,543
skku_013,성균관대 화학공학부,https://cheme.skku.edu/notice/,https://cheme.skku.edu,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,545
skku_014,성균관대 국어국문학과,https://skb.skku.edu/korean/community/under_notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,493
skku_015,성균관대 러시아어문학과,https://russian.skku.edu/russian/deptnews.do,https://russian.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,495
skku_016,성균관대 문헌정보학과,https://lis.skku.edu/lis/community/under_notice.do,https://lis.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,496
skku_017,성균관대 사학과,https://skb.skku.edu/history/community/under_notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,497
skku_018,성균관대 영어영문학과,https://skb.skku.edu/english/notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,498
skku_019,성균관대 철학과,https://skb.skku.edu/philosophy/community/under_notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,500
skku_020,성균관대 독어독문학과,https://skb.skku.edu/german/04_Community/notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,494
skku_021,성균관대 중어중문학과,https://skb.skku.edu/chinese/undergraduate_notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,499
skku_022,성균관대 프랑스어문학과,https://skb.skku.edu/french/community/notice.do,https://skb.skku.edu,.board-list-wrap li,a[href],a[href],.board-list-content-info li:nth-child(3),,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,501
